FIT	CollEn	particle	centrality	mass	beta	betaErr	temp	tempErr	n-v_prof	nErr	norm	normErr	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
bis	7.7	la_	0	1.11568	0.536286	0.0113386	0.117796	0.00144918	0.428114	0.10401	774457	102864	3.50651	0.186879	0.0461761	0.00317522	9.54496e-06	8.11309e-07	3.55269	0.190055	4.95402	0.28773	0.127423	0.00924139	9.87522e-06	8.39031e-07	5.08145	0.296972	8.0141	0.580022	0.637589	0.0506998	2.94842e-06	8.11309e-07	8.65169	0.630723	13.0756	1.08338	0.637589	0.0506998	2.94842e-06	2.48573e-07	13.7132	1.13408	337	2
tan	7.7	la_	0	1.11568	0.536017	0.0113514	0.117839	0.00144973	0.426949	0.103867	771296	102415	3.50651	0.186879	0.046174	0.00317268	9.54493e-06	8.11235e-07	3.55269	0.190052	4.95402	0.28773	0.127416	0.00923368	9.87519e-06	8.38955e-07	5.08144	0.296964	8.0141	0.580022	0.637551	0.0506549	2.94841e-06	8.11235e-07	8.65165	0.630678	13.0756	1.08338	0.637551	0.0506549	2.94841e-06	2.4855e-07	13.7132	1.13403	0	53673968
hag	7.7	la_	0	1.11568	4.87985	0.0141027	200	0.42781	15	0.00864291	3.50651	0.186879	0.0127478	0.000156102	0.000216573	5.66271e-06	3.51947	0.187041	4.95402	0.28773	0.0361421	0.000439854	0.000223179	5.83388e-06	4.99038	0.288176	8.0141	0.580022	0.189811	0.00228585	6.15556e-05	5.66271e-06	8.20397	0.582314	13.0756	1.08338	0.189811	0.00228585	6.15556e-05	1.59989e-06	13.2655	1.08566	32767	0
bis	7.7	la_	1	1.11568	0.53059	0.227971	0.119764	0.0423584	0.485077	1.07632	536847	2.06993e+06	2.79668	0.172108	0.0395672	0.00367729	7.7354e-06	9.69474e-07	2.83625	0.175786	3.96114	0.266765	0.109624	0.0107705	8.0029e-06	1.00236e-06	4.07077	0.277537	6.44591	0.544024	0.552598	0.0597333	2.38855e-06	9.69474e-07	6.99851	0.603758	10.5316	1.01726	0.552598	0.0597333	2.38855e-06	2.95607e-07	11.0842	1.077	290	6
tan	7.7	la_	1	1.11568	0.530244	0.0129382	0.119822	0.00170648	0.48358	0.128969	534008	80932.9	2.79668	0.172108	0.0395659	0.00319306	7.73579e-06	7.42075e-07	2.83625	0.175301	3.96114	0.266765	0.10962	0.00931138	8.00329e-06	7.67412e-07	4.07077	0.276077	6.44591	0.544024	0.552573	0.0512466	2.38866e-06	7.42075e-07	6.99848	0.595271	10.5316	1.01726	0.552573	0.0512466	2.38866e-06	2.2725e-07	11.0841	1.06851	0	53673968
hag	7.7	la_	1	1.11568	5.03625	0.0231122	183.187	2.45319	14.9979	3.64406e-05	2.79668	0.172108	0.010205	6.61974e-05	0.000148994	4.26115e-06	2.80703	0.172178	3.96114	0.266765	0.0289538	0.000184301	0.00015355	4.3898e-06	3.99025	0.266954	6.44591	0.544024	0.152254	0.000937879	4.24198e-05	4.26115e-06	6.59821	0.544966	10.5316	1.01726	0.152254	0.000937879	4.24198e-05	1.20297e-06	10.6839	1.0182	32767	0
bis	7.7	la_	2	1.11568	0.586987	0.00761375	0.110255	0.00119963	0.870726	0.120207	1.0228e+06	131080	1.9708	0.0989232	0.0310171	0.00220089	5.34966e-06	3.92624e-07	2.00183	0.101124	2.8086	0.155107	0.0865911	0.00646964	5.53466e-06	4.06044e-07	2.8952	0.161577	4.64606	0.323882	0.442555	0.0360704	1.65192e-06	3.92624e-07	5.08861	0.359953	7.66058	0.612097	0.442555	0.0360704	1.65192e-06	1.20324e-07	8.10314	0.648167	226	8
tan	7.7	la_	2	1.11568	0.395131	0.0862288	0.13817	0.0052963	0.0160738	4.65175	92418.9	30692.5	1.9708	0.0989232	0.0308468	0.0111465	5.28633e-06	2.01769e-05	2.00166	0.11009	2.8086	0.155107	0.0860375	0.0340597	5.46922e-06	2.08709e-05	2.89464	0.189187	4.64606	0.323882	0.438985	0.200587	1.63285e-06	2.01769e-05	5.08504	0.524489	7.66058	0.612097	0.438985	0.200587	1.63285e-06	6.20855e-06	8.09957	0.81269	0	53673968
hag	7.7	la_	2	1.11568	5.28527	0.013049	200	0.33983	15	0.00598799	1.9708	0.0989232	0.00900387	9.96621e-05	0.000104141	2.39579e-06	1.97991	0.0990253	2.8086	0.155107	0.0255802	0.000281431	0.000107338	2.46873e-06	2.83429	0.155391	4.64606	0.323882	0.134816	0.001468	2.97263e-05	2.39579e-06	4.7809	0.325352	7.66058	0.612097	0.134816	0.001468	2.97263e-05	6.80165e-07	7.79543	0.613565	32767	0
bis	7.7	la_	3	1.11568	0.580977	0.211154	0.110398	0.0474952	1.02793	1.24955	688651	3.52084e+06	1.23287	0.07826	0.021868	0.00393917	2.94017e-05	3.09707e-06	1.25477	0.0822023	1.77529	0.123583	0.0617121	0.0121985	3.07502e-05	3.23573e-06	1.83703	0.135785	3.00961	0.261846	0.320619	0.0735721	1.09052e-05	3.09707e-06	3.33024	0.335421	5.00737	0.49843	0.320619	0.0735721	1.09052e-05	1.13031e-06	5.328	0.572003	160	10
