FIT	CollEn	particle	centrality	mass	dETdEta_data	dETdEta_d_err	dETdEtaLeft	dETdEtaLErr	dETdEtaRight	dETdEtaRErr	dETdEtaTotal	dETdEtaTErr	dETdy_d	dETdy_d_err	dETdyLeft	dETdyLErr	dETdyRight	dETdyRErr	dETdyTotal	dETdyTErr	dNdEta_d	dNdEta_d_err	dNdEtaLeft	dNdEtaLErr	dNdEtaRight	dNdEtaRErr	dNdEtaTotal	dNdEtaTErr	dNdy_d	dNdy_d_err	dNdyLeft	dNdyLErr	dNdyRight	dNdyRErr	dNdyTotal	dNdyTErr	Npart	NpartErr
tan	200	eta	5	0.54786	1.64001	2.31936	0.0865453	0.0846178	0.168335	0.201017	1.89489	2.60499	2.39879	3.39244	0.337454	0.365327	0.191453	0.226029	2.9277	3.9838	2.08857	2.95372	0.148478	0.146034	0.143998	0.201017	2.38105	3.30077	3.12637	4.42139	0.148478	0.146034	0.143998	0.164277	3.41884	4.7317	78	5
hag	200	eta	5	0.54786	1.64001	2.31936	0.157942	0.0593168	0.244822	0.134909	2.04278	2.51358	2.39879	3.39244	0.684674	0.254512	0.270216	0.148213	3.35368	3.79517	2.08857	2.95372	0.272586	0.10231	0.179289	0.134909	2.54045	3.19094	3.12637	4.42139	0.272586	0.10231	0.179289	0.0961164	3.57824	4.61982	78	5
bis	200	eta	6	0.54786	1.00592	1.42258	0.0563634	0.0993233	0.0955151	0.266166	1.1578	1.78807	1.47475	2.08561	0.222915	0.492094	0.108832	0.297115	1.8065	2.87482	1.28318	1.81469	0.096769	0.172837	0.0823079	0.266166	1.46226	2.2537	1.92571	2.72336	0.096769	0.172837	0.0823079	0.211194	2.10479	3.10739	49	5
tan	200	eta	6	0.54786	1.00592	1.42258	0.0559706	0.0942617	0.101192	0.293204	1.16308	1.81005	1.47475	2.08561	0.220032	0.466635	0.115094	0.325941	1.80988	2.87819	1.28318	1.81469	0.0960667	0.164004	0.0865729	0.293204	1.46582	2.2719	1.92571	2.72336	0.0960667	0.164004	0.0865729	0.228162	2.10835	3.11553	49	5
hag	200	eta	6	0.54786	1.00592	1.42258	0.102519	0.0390685	0.131691	0.0704858	1.24013	1.53214	1.47475	2.08561	0.4463	0.168483	0.145737	0.0776962	2.06679	2.33179	1.28318	1.81469	0.176978	0.067406	0.0979255	0.0704858	1.55809	1.95258	1.92571	2.72336	0.176978	0.067406	0.0979255	0.0512425	2.20061	2.84201	49	5
bis	200	eta	7	0.54786	0.574704	0.812755	0.0346501	0.198569	0.0518119	0.32181	0.661166	1.33313	0.845693	1.19599	0.138501	0.875295	0.0590806	0.362526	1.04327	2.43381	0.735161	1.03968	0.0595252	0.343124	0.0447807	0.32181	0.839467	1.70461	1.1077	1.56654	0.0595252	0.343124	0.0447807	0.265274	1.21201	2.17494	29	4
tan	200	eta	7	0.54786	0.574704	0.812755	0.0341147	0.0683983	0.054799	0.193182	0.663618	1.07434	0.845693	1.19599	0.13518	0.345673	0.0623678	0.214793	1.04324	1.75646	0.735161	1.03968	0.0585798	0.119167	0.0470017	0.193182	0.840742	1.35203	1.1077	1.56654	0.0585798	0.119167	0.0470017	0.150497	1.21329	1.8362	29	4
hag	200	eta	7	0.54786	0.574704	0.812755	0.0623748	0.0240823	0.0665188	0.0345851	0.703598	0.871423	0.845693	1.19599	0.272746	0.104409	0.0737948	0.0382414	1.19223	1.33864	0.735161	1.03968	0.107705	0.041563	0.0501498	0.0345851	0.893016	1.11583	1.1077	1.56654	0.107705	0.041563	0.0501498	0.0255997	1.26556	1.6337	29	4
bis	200	eta	8	0.54786	0.288434	0.407922	0.0186858	0.0319027	0.0240212	0.0657497	0.331141	0.505574	0.4264	0.603042	0.0753073	0.158594	0.0274263	0.0736249	0.529134	0.835261	0.370314	0.523721	0.0321152	0.0555257	0.0208646	0.0657497	0.423294	0.644997	0.560682	0.792951	0.0321152	0.0555257	0.0208646	0.0529179	0.613662	0.901395	16	3
tan	200	eta	8	0.54786	0.288434	0.407922	0.0184029	0.0198083	0.0258623	0.0379915	0.332699	0.465722	0.4264	0.603042	0.07355	0.0902187	0.0294565	0.0425633	0.529407	0.735824	0.370314	0.523721	0.0316155	0.0342868	0.0222474	0.0379915	0.424177	0.596	0.560682	0.792951	0.0316155	0.0342868	0.0222474	0.0305834	0.614545	0.857821	16	3
