CollEn	Particle	Cent	dETdEta	dETdEta_err	dNdEta	dNdEta_err	npart	nparterr
27	eta	6	0.839697	1.17122	0.00319189	0.918435	1.27154	47	9
27	eta	7	0.450295	0.617927	0.00163877	0.497516	0.67193	27	8
27	eta	8	0.213801	0.290081	0.000862007	0.238813	0.316984	14	6
27	ome	0	2.041	2.86348	0.0150377	9.14501	12.6932	343	2
27	ome	1	1.67602	2.40212	0.00645934	7.5424	10.5625	299	6
27	ome	2	1.28481	1.77513	0.0105191	5.67961	7.83933	234	9
27	ome	3	0.843931	1.19843	0.00261285	3.8143	5.31794	166	11
27	ome	4	0.540584	0.758575	0.00281477	2.47094	3.41056	114	11
27	ome	5	0.329904	0.467621	0.0037756	1.51539	2.10232	75	10
27	ome	6	0.184355	0.26148	0.000178013	0.878168	1.22243	47	9
27	ome	7	0.0961226	0.136595	4.7518e-05	0.471524	0.6592	27	8
27	ome	8	0.0442655	0.0621502	5.58779e-06	0.224403	0.307015	14	6
39	pi-	0	81.3817	5.34781	0.716602	183.588	12.0313	342	2
39	pi-	1	67.0864	4.40794	0.582299	151.071	9.89022	294	6
39	pi-	2	52.1796	3.40805	0.327712	118.921	7.6635	230	9
39	pi-	3	35.2744	2.63125	0.435778	80.3832	6.91962	162	10
39	pi-	4	22.9892	1.59604	0.338167	52.5705	3.89367	111	11
39	pi-	5	14.5031	0.975024	0.247133	33.4458	2.30641	74	10
39	pi-	6	9.0351	0.585566	0.0188071	21.6862	1.38542	46	9
39	pi-	7	4.90346	0.356892	0.0102085	11.9005	0.938567	26	7
39	pi-	8	2.62198	0.195491	0.0556088	6.28202	0.520347	14	5
39	pi+	0	79.923	5.84922	1.1269	176.602	14.6691	342	2
39	pi+	1	66.054	4.34156	0.654175	146.802	9.59766	294	6
39	pi+	2	51.2711	3.36759	0.377126	115.542	7.54795	230	9
39	pi+	3	34.9031	2.27536	0.1875	79.6478	5.10358	162	10
39	pi+	4	22.5996	1.57278	0.337676	51.3807	3.82155	111	11
39	pi+	5	14.2616	0.968727	0.245073	32.761	2.31089	74	10
39	pi+	6	8.87783	0.575876	0.0113076	21.2462	1.35718	46	9
39	pi+	7	4.73984	0.357385	0.0914195	11.2374	0.951848	26	7
39	pi+	8	2.58304	0.19431	0.0522253	6.17862	0.519814	14	5
39	pi0	0	80.6555	5.71567	1.11746	181.606	14.1676	342	2
39	pi0	1	66.3933	4.99867	0.958404	149.224	13.1843	294	6
39	pi0	2	51.5531	3.64584	0.655205	117.291	9.10065	230	9
39	pi0	3	35.2721	2.30356	0.219133	81.7107	5.26992	162	10
39	pi0	4	22.8307	1.58546	0.361273	52.6198	3.90582	111	11
39	pi0	5	14.592	0.956094	0.076314	34.5304	2.25616	74	10
